,0
0,1.669568419456482
1,1.7856531143188477
2,1.638213872909546
3,1.6223374605178833
4,1.6740213632583618
5,1.6791130304336548
6,1.6219666004180908
7,1.833174228668213
8,1.730067491531372
9,1.6822421550750732
